scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol,catalog_source
Cestrum diurnum,Cestrum diurnum var. diurnum; Cestrum diurnum var. portoricense,day jessamine,Solanaceae,Cestrum,"Tree, Shrub",Perennial,L48(I)HI(I)PR(I?)VI(I),,,,,,,,CEDI6,USDA PLANTS (public domain)
Cestrum fasciculatum,,early jessamine,Solanaceae,Cestrum,Shrub,Perennial,L48(I),,,,,,,,CEFA3,USDA PLANTS (public domain)
Cestrum laurifolium,Cestrum macrophyllum,galen del monte,Solanaceae,Cestrum,"Tree, Shrub",Perennial,PR(N)VI(N),,,,,,,,CELA2,USDA PLANTS (public domain)
Cestrum parqui,Cestrum nocturnum,night jessamine,Solanaceae,Cestrum,"Tree, Shrub",Perennial,L48(I)HI(I)PR(I)VI(I),,,,,,,,"CENO,CEPA9",USDA PLANTS (public domain)
Cestrum salicifolium,,pussywillow jessamine,Solanaceae,Cestrum,Shrub,Perennial,PR(N),,,,,,,,CESA4,USDA PLANTS (public domain)
Cevallia sinuata,,stinging serpent,Loasaceae,Cevallia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CESI,USDA PLANTS (public domain)
Chaenactis parishii,,Parish's chaenactis,Asteraceae,Chaenactis,Subshrub,Perennial,L48(N),,,,,,,,CHPA,USDA PLANTS (public domain)
Chaenactis suffrutescens,Chaenactis suffrutescens var. incana,Shasta chaenactis,Asteraceae,Chaenactis,Subshrub,Perennial,L48(N),,,,,,,,CHSU,USDA PLANTS (public domain)
Chaenomeles japonica,Cydonia japonica,Maule's quince,Rosaceae,Chaenomeles,Shrub,Perennial,L48(I)CAN(I),8.0,No,Orange,Early Spring,High,Intermediate,Moderate,CHJA2,USDA PLANTS (public domain)
Chaenomeles speciosa,Chaenomeles lagenaria,flowering quince,Rosaceae,Chaenomeles,Shrub,Perennial,L48(I),,,,,,,,CHSP12,USDA PLANTS (public domain)
Chaetopappa effusa,Keerlia effusa,spreading leastdaisy,Asteraceae,Chaetopappa,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,CHEF,USDA PLANTS (public domain)
Chaetopappa ericoides,Aster arenosus; Aster leucelene; Inula ericoides; Aster hirtifolius; Aster ericaefolius; Leucelene ericoides,rose heath,Asteraceae,Chaetopappa,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHER2,USDA PLANTS (public domain)
Chamaebatia australis,,southern mountain misery,Rosaceae,Chamaebatia,Shrub,Perennial,L48(N),,,,,,,,CHAU2,USDA PLANTS (public domain)
Chamaebatia foliolosa,,mountain misery,Rosaceae,Chamaebatia,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,CHFO,USDA PLANTS (public domain)
Chamaebatiaria millefolium,,desert sweet,Rosaceae,Chamaebatiaria,Shrub,Perennial,L48(N),6.0,No,White,Mid Summer,High,Intolerant,Moderate,CHMI2,USDA PLANTS (public domain)
Chamaecrista chamaecristoides,,beach sensitive pea,Fabaceae,Chamaecrista,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,CHCH3,USDA PLANTS (public domain)
Chamaecrista cruziana,Chamaecrista chamaecristoides var. cruziana,beach sensitive pea,Fabaceae,Chamaecrista,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHCHC,USDA PLANTS (public domain)
Chamaecrista deeringiana,Cassia deeringiana,Florida Keys sensitive pea,Fabaceae,Chamaecrista,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,CHDE9,USDA PLANTS (public domain)
Chamaecrista diphylla,Cassia diphylla,twoleaf sensitive pea,Fabaceae,Chamaecrista,"Subshrub, Forb/herb",Perennial,PR(N),,,,,,,,CHDI6,USDA PLANTS (public domain)
Chamaecrista glandulosa,,Jamaican broom,Fabaceae,Chamaecrista,"Subshrub, Shrub",Perennial,PR(N)VI(N),,,,,,,,CHGL6,USDA PLANTS (public domain)
Chamaecrista glandulosa var. glandulosa,Cassia glandulosa,Jamaican broom,Fabaceae,Chamaecrista,"Subshrub, Shrub",Perennial,PR(N),,,,,,,,CHGLG3,USDA PLANTS (public domain)
Chamaecrista mirabilis,Chamaecrista glandulosa var. mirabilis; Cassia mirabilis,Jamaican broom,Fabaceae,Chamaecrista,"Subshrub, Shrub",Perennial,PR(N),,,,,,,,CHGLM2,USDA PLANTS (public domain)
Chamaecrista swartzii,Chamaecrista glandulosa var. swartzii; Cassia glandulosa var. swartzii,Swartz's jamaican broom,Fabaceae,Chamaecrista,"Subshrub, Shrub",Perennial,PR(N)VI(N),,,,,,,,CHGLS,USDA PLANTS (public domain)
Chamaecrista greggii,Cassia greggii,Gregg's sensitive pea,Fabaceae,Chamaecrista,Shrub,Perennial,L48(N),,,,,,,,CHGR18,USDA PLANTS (public domain)
Chamaecrista lineata,,narrowpod sensitive pea,Fabaceae,Chamaecrista,"Subshrub, Forb/herb",Perennial,L48(N)PR(N)VI(N),,,,,,,,CHLI5,USDA PLANTS (public domain)
Chamaecrista keyensis,Chamaecrista lineata var. keyensis; Cassia keyensis,narrowpod sensitive pea,Fabaceae,Chamaecrista,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHLIK,USDA PLANTS (public domain)
Chamaecrista nictitans,,sensitive partridge pea,Fabaceae,Chamaecrista,"Subshrub, Forb/herb","Annual, Perennial",L48(N)HI(I)PR(N)VI(N),,,,,,,,CHNI2,USDA PLANTS (public domain)
Chamaecrista nictitans ssp. nictitans,,sensitive partridge pea,Fabaceae,Chamaecrista,"Subshrub, Forb/herb","Annual, Perennial",L48(N)HI(I)PR(N)VI(N),,,,,,,,CHNIN,USDA PLANTS (public domain)
Chamaecrista aspera,Chamaecrista nictitans ssp. nictitans var. aspera; Cassia aspera,sensitive partridge pea,Fabaceae,Chamaecrista,"Forb/herb, Subshrub","Perennial, AN",L48(N),,,,,,,,CHNIA,USDA PLANTS (public domain)
Chamaecrista exunguis,Chamaecrista nictitans ssp. nictitans var. diffusa; Cassia exunguis,sensitive partridge pea,Fabaceae,Chamaecrista,"Subshrub, Forb/herb","Annual, Perennial",PR(N)VI(N),,,,,,,,CHNID,USDA PLANTS (public domain)
Chamaecrista nictitans ssp. nictitans var. jaliscensis,,sensitive partridge pea,Fabaceae,Chamaecrista,"Subshrub, Forb/herb","Annual, Perennial",,,,,,,,,CHNIJ2,USDA PLANTS (public domain)
Chamaecrista leptadenia,Chamaecrista nictitans ssp. nictitans var. leptadenia; Cassia leptadenia; Cassia nictitans var. mensalis,sensitive partridge pea,Fabaceae,Chamaecrista,"Forb/herb, Subshrub","Perennial, AN",L48(N),,,,,,,,CHNIL,USDA PLANTS (public domain)
Chamaecrista mohrii,Chamaecrista procumbens; Chamaecrista multipinnata; Chamaecrista nictitans var. hebecarpa; Chamaecrista nictitans var. leiocarpa; Chamaecrista nictitans ssp. nictitans var. nictitans; Cassia nictitans; Cassia aspera var. mohrii; Cassia nictitans var. mohrii; Cassia nictitans var. commixta; Cassia nictitans var. hebecarpa; Cassia nictitans var. leiocarpa,sensitive partridge pea,Fabaceae,Chamaecrista,"Forb/herb, Subshrub","Perennial, AN",L48(N)HI(I),,,,,,,,CHNIN2,USDA PLANTS (public domain)
Chamaecrista nictitans ssp. patellaria,,sensitive partridge pea,Fabaceae,Chamaecrista,"Subshrub, Forb/herb","Annual, Perennial",HI(I)PR(N)VI(N),,,,,,,,CHNIP,USDA PLANTS (public domain)
Chamaecrista aeschinomene,Chamaecrista nictitans ssp. patellaria var. glabrata; Cassia aeschinomene; Cassia leschenaultiana; Cassia leschenaultiana var. aeschinomene,sensitive partridge pea,Fabaceae,Chamaecrista,"Forb/herb, Subshrub","Perennial, AN",L48(I)HI(I)PR(N)VI(N),,,,,,,,CHNIG,USDA PLANTS (public domain)
Chamaecrista patellaria,Chamaecrista patellaria var. ramosa; Chamaecrista nictitans ssp. patellaria var. patellaria; Cassia patellaria,sensitive partridge pea,Fabaceae,Chamaecrista,"Forb/herb, Subshrub","Perennial, AN",PR(N),,,,,,,,CHNIP2,USDA PLANTS (public domain)
Chamaecrista portoricensis,Cassia portoricensis,Puerto Rico sensitive pea,Fabaceae,Chamaecrista,Shrub,Perennial,PR(N)VI(N),,,,,,,,CHPO8,USDA PLANTS (public domain)
Chamaecyparis lawsoniana,Cupressus lawsoniana; Retinispora lawsoniana,Port Orford cedar,Cupressaceae,Chamaecyparis,Tree,Perennial,L48(N),200,Yes,Blue,Mid Spring,Low,Tolerant,Long,CHLA,USDA PLANTS (public domain)
Chamaecyparis pisifera,,sawara-cypress,Cupressaceae,Chamaecyparis,Tree,Perennial,L48(W),,,,,,,,CHPI12,USDA PLANTS (public domain)
Chamaecyparis henryae,Chamaecyparis thyoides; Chamaecyparis thyoides var. henryae; Cupressus thyoides; Cupressus thyoides ssp. henryae,Atlantic white cedar,Cupressaceae,Chamaecyparis,Tree,Perennial,L48(N),50,Yes,Green,Spring,None,Intermediate,Long,CHTH2,USDA PLANTS (public domain)
Chamaecytisus prolifera,Cytisus proliferus; Chamaecystis prolifera,escabon,Fabaceae,Chamaecytisus,Shrub,Perennial,L48(I),,,,,,,,CHPR14,USDA PLANTS (public domain)
Chamaedaphne calyculata,Chamaedaphne calyculata var. nana; Chamaedaphne calyculata var. latifolia; Chamaedaphne calyculata var. angustifolia; Cassandra calyculata var. latifolia; Cassandra calyculata var. angustifolia,leatherleaf,Ericaceae,Chamaedaphne,Shrub,Perennial,L48(N)AK(N)CAN(N)SPM(N),4.0,Yes,White,Early Spring,Low,Intermediate,Moderate,CHCA2,USDA PLANTS (public domain)
Chamaedorea seifrizii,,Seifriz's chamaedorea,Arecaceae,Chamaedorea,Tree,Perennial,L48(I),,,,,,,,CHSE17,USDA PLANTS (public domain)
Chamaesaracha coronopus,,greenleaf five eyes,Solanaceae,Chamaesaracha,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,CHCO2,USDA PLANTS (public domain)
Chamaesaracha edwardsiana,,Edwards Plateau five eyes,Solanaceae,Chamaesaracha,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHED,USDA PLANTS (public domain)
Chamaesaracha villosa,,Trans-Pecos five eyes,Solanaceae,Chamaesaracha,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHVI9,USDA PLANTS (public domain)
Chamaesyce adenoptera,,southern Florida sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,L48(N)PR(N),,,,,,,,CHAD,USDA PLANTS (public domain)
Chamaesyce monensis,Chamaesyce adenoptera ssp. pergamena; Euphorbia pergamena; Euphorbia adenoptera ssp. pergamena,southern Florida sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,L48(N)PR(N),,,,,,,,CHADP,USDA PLANTS (public domain)
Chamaesyce hookeri,Chamaesyce arnottiana; Euphorbia hookeri; Euphorbia arnottiana; Euphorbia myrtifolia; Anisophyllum virgatum; Euphorbia hookeri var. typica,'akoko,Euphorbiaceae,Chamaesyce,Shrub,Perennial,HI(N),,,,,,,,CHAR17,USDA PLANTS (public domain)
Chamaesyce vahlii,Chamaesyce linearis; Chamaesyce articulata; Euphorbia linearis; Euphorbia articulata,jointed sandmat,Euphorbiaceae,Chamaesyce,"Tree, Shrub",Perennial,PR(N)VI(N),,,,,,,,CHAR8,USDA PLANTS (public domain)
Chamaesyce atoto,,,Euphorbiaceae,Chamaesyce,"Subshrub, Shrub, Forb/herb",Perennial,L48(N),,,,,,,,CHAT3,USDA PLANTS (public domain)
Chamaesyce atrococca,Chamaesyce atrococca var. kokeeana; Chamaesyce atrococca var. kilaueana; Euphorbia atrococca; Euphorbia atrococca var. typica; Euphorbia atrococca var. kokeeana; Euphorbia atrococca var. kilaueana; Euphorbia multiformis var. mohihiensis; Euphorbia celastroides var. pseudoniuensis,koko,Euphorbiaceae,Chamaesyce,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHAT2,USDA PLANTS (public domain)
Chamaesyce celastroides,,'ekoko,Euphorbiaceae,Chamaesyce,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHCE,USDA PLANTS (public domain)
Chamaesyce multiformis var. manoana,Chamaesyce celastroides var. ingrata; Chamaesyce celastroides var. halawana; Chamaesyce celastroides var. kohalana; Chamaesyce celastroides var. saxicola; Chamaesyce celastroides var. amplectens; Chamaesyce celastroides var. waikoluensis; Euphorbia multiformis var. manoana; Euphorbia celastroides var. ingrata; Euphorbia celastroides var. halawana; Euphorbia celastroides var. kohalana; Euphorbia celastroides var. saxicola; Euphorbia celastroides var. amplectens; Euphorbia celastroides var. waikoluensis,'ekoko,Euphorbiaceae,Chamaesyce,"Shrub, Tree",Perennial,HI(N),,,,,,,,CHCEA,USDA PLANTS (public domain)
Chamaesyce celastroides var. haupuana,Chamaesyce celastroides var. hathewayi; Chamaesyce celastroides var. humbertii; Chamaesyce celastroides var. nematopoda; Chamaesyce celastroides var. celastroides; Euphorbia celastroides; Euphorbia celastroides var. typica; Euphorbia celastroides var. haupuana; Euphorbia celastroides var. humbertii; Euphorbia celastroides var. nematopoda,'ekoko,Euphorbiaceae,Chamaesyce,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHCEC,USDA PLANTS (public domain)
Chamaesyce celastroides var. nelsonii,Chamaesyce celastroides var. hanapepensis; Euphorbia rivularis; Euphorbia celastroides var. nelsonii; Euphorbia celastroides var. hanapepensis,'ekoko,Euphorbiaceae,Chamaesyce,"Shrub, Tree",Perennial,HI(N),,,,,,,,CHCEH,USDA PLANTS (public domain)
Chamaesyce celastroides var. kaenana,Chamaesyce celastroides var. niuensis; Euphorbia celastroides var. kaenana; Euphorbia celastroides var. niuensis,'ekoko,Euphorbiaceae,Chamaesyce,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHCEK,USDA PLANTS (public domain)
Chamaesyce celastroides var. laehiensis,Euphorbia celastroides var. laehiensis,'ekoko,Euphorbiaceae,Chamaesyce,"Shrub, Tree",Perennial,HI(N),,,,,,,,CHCEL,USDA PLANTS (public domain)
Chamaesyce celastroides var. lorifolia,Chamaesyce celastroides var. mauiensis; Chamaesyce celastroides var. odonatoides; Euphorbia lorifolia; Euphorbia multiformis var. lorifolia; Euphorbia celastroides var. lorifolia; Euphorbia celastroides var. mauiensis; Euphorbia celastroides var. odonatoides,'ekoko,Euphorbiaceae,Chamaesyce,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHCEL2,USDA PLANTS (public domain)
Chamaesyce celastroides var. stokesii,Chamaesyce celastroides var. kealiana; Chamaesyce celastroides var. moomomiana; Euphorbia celastroides var. kealiana; Euphorbia celastroides var. stokesii; Euphorbia celastroides var. moomomiana,'ekoko,Euphorbiaceae,Chamaesyce,"Shrub, Tree",Perennial,HI(N),,,,,,,,CHCES,USDA PLANTS (public domain)
Chamaesyce multiformis var. kaalana,Chamaesyce multiformis var. perdita; Chamaesyce multiformis var. tomentella; Chamaesyce celastroides var. tomentella; Euphorbia oahuensis; Euphorbia multiformis var. kaalana; Euphorbia multiformis var. perdita; Euphorbia multiformis var. tomentella; Euphorbia celastroides var. tomentella,'ekoko,Euphorbiaceae,Chamaesyce,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHCET,USDA PLANTS (public domain)
Chamaesyce chaetocalyx,,bristlecup sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHCH5,USDA PLANTS (public domain)
Chamaesyce fendleri var. chaetocalyx,Chamaesyce chaetocalyx var. chaetocalyx; Euphorbia chaetocalyx; Euphorbia fendleri var. chaetocalyx,bristlecup sandmat,Euphorbiaceae,Chamaesyce,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,CHCHC3,USDA PLANTS (public domain)
Chamaesyce chamissonis,Euphorbia chamissonis,Chamisso's sandmat,Euphorbiaceae,Chamaesyce,"Forb/herb, Subshrub, Shrub",Perennial,L48(N),,,,,,,,"CHCH16,EUCH14",USDA PLANTS (public domain)
Chamaesyce forbesii,Chamaesyce clusiifolia; Euphorbia forbesii; Anisophyllum nodosum; Euphorbia clusiifolia,forest sandmat,Euphorbiaceae,Chamaesyce,"Vine, Shrub",Perennial,HI(N),,,,,,,,CHCL3,USDA PLANTS (public domain)
Chamaesyce cordata,Chamaesyce degeneri; Chamaesyce degeneri var. molokaiensis; Euphorbia cordata; Euphorbia degeneri; Anisophyllum cordatum; Euphorbia degeneri var. typica; Euphorbia degeneri var. molokaiensis,beach sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Shrub",Perennial,HI(N),,,,,,,,CHDE6,USDA PLANTS (public domain)
Chamaesyce deltoidea,,wedge sandmat,Euphorbiaceae,Chamaesyce,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,CHDE7,USDA PLANTS (public domain)
Chamaesyce adhaerens,Chamaesyce deltoidea ssp. adhaerens; Chamaesyce deltoidea var. adhaerens,wedge sandmat,Euphorbiaceae,Chamaesyce,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,CHDEA2,USDA PLANTS (public domain)
Chamaesyce deltoidea ssp. deltoidea,Euphorbia deltoidea,wedge sandmat,Euphorbiaceae,Chamaesyce,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,CHDED,USDA PLANTS (public domain)
Chamaesyce serpyllum,Chamaesyce deltoidea ssp. serpyllum; Euphorbia deltoidea var. serpyllum,wedge sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHDES,USDA PLANTS (public domain)
Chamaesyce festiva,Chamaesyce deppeana; Euphorbia festiva; Euphorbia deppeana; Euphorbia pauciflora; Anisophyllum californicum,Oahu sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Shrub",Perennial,HI(N),,,,,,,,CHDE8,USDA PLANTS (public domain)
Chamaesyce eleanoriae,,Na Pali sandmat,Euphorbiaceae,Chamaesyce,Shrub,Perennial,HI(N),,,,,,,,CHEL7,USDA PLANTS (public domain)
Chamaesyce fendleri,Euphorbia fendleri; Euphorbia fendleri var. typica,Fendler's sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHFE3,USDA PLANTS (public domain)
Chamaesyce garberi,Chamaesyce mosieri; Chamaesyce adicioides; Chamaesyce brachypoda; Euphorbia garberi,Garber's sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Annual,L48(N),,,,,,,,CHGA3,USDA PLANTS (public domain)
Chamaesyce halemanui,Chamaesyce remyi var. molesta; Chamaesyce remyi var. wilkesii; Chamaesyce remyi var. leptopoda; Euphorbia halemanui; Euphorbia remyi var. molesta; Euphorbia remyi var. wilkesii; Euphorbia remyi var. leptopoda,Kauai sandmat,Euphorbiaceae,Chamaesyce,"Vine, Shrub",Perennial,HI(N),,,,,,,,CHHA2,USDA PLANTS (public domain)
Chamaesyce herbstii,Chamaesyce rockii var. grandifolia; Chamaesyce forbesii var. grandifolia; Euphorbia herbstii; Euphorbia rockii var. grandifolia,Herbst's sandmat,Euphorbiaceae,Chamaesyce,Tree,Perennial,HI(N),,,,,,,,CHHE3,USDA PLANTS (public domain)
Chamaesyce kuwaleana,Euphorbia kuwaleana,kokomalei,Euphorbiaceae,Chamaesyce,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHKU,USDA PLANTS (public domain)
Chamaesyce buxifolia,Chamaesyce mesembrianthemifolia; Euphorbia buxifolia; Euphorbia mesembrianthemifolia,coastal beach sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,L48(N)PR(N)VI(N),,,,,,,,CHME7,USDA PLANTS (public domain)
Chamaesyce multiformis,,variable sandmat,Euphorbiaceae,Chamaesyce,Shrub,Perennial,HI(N),,,,,,,,CHMU3,USDA PLANTS (public domain)
Chamaesyce multiformis var. microphylla,Euphorbia multiformis var. tenuior; Euphorbia multiformis var. microphylla,variable sandmat,Euphorbiaceae,Chamaesyce,Shrub,Perennial,HI(N),,,,,,,,CHMUM,USDA PLANTS (public domain)
Chamaesyce hillebrandii,Chamaesyce hillebrandii var. palikeana; Chamaesyce multiformis var. multiformis; Chamaesyce arnottiana var. integrifolia; Chamaesyce hillebrandii var. waimanoana; Euphorbia multiformis; Euphorbia hillebrandii; Anisophyllum multiforme; Euphorbia multiformis var. typica; Euphorbia hillebrandii var. typica; Euphorbia hookeri var. integrifolia; Euphorbia hillebrandii var. palikeana; Euphorbia arnottiana var. integrifolia; Euphorbia hillebrandii var. waimanoana,variable sandmat,Euphorbiaceae,Chamaesyce,Shrub,Perennial,HI(N),,,,,,,,CHMUM2,USDA PLANTS (public domain)
Chamaesyce olowaluana,Chamaesyce olowaluana var. gracilis; Chamaesyce olowaluana var. lepidofolia; Euphorbia olowaluana; Euphorbia olowaluana var. typica; Euphorbia lorifolia var. gracilis; Euphorbia olowaluana var. gracilis; Euphorbia olowaluana var. lepidofolia,alpine sandmat,Euphorbiaceae,Chamaesyce,"Shrub, Tree",Perennial,HI(N),,,,,,,,CHOL3,USDA PLANTS (public domain)
Chamaesyce orbifolia,,Mona Island sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,PR(N),,,,,,,,CHOR6,USDA PLANTS (public domain)
Chamaesyce porteriana,,Porter's sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHPO7,USDA PLANTS (public domain)
Chamaesyce porteriana var. porteriana,Euphorbia porteriana,Porter's sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHPOP3,USDA PLANTS (public domain)
Chamaesyce scoparia,Chamaesyce porteriana var. scoparia; Euphorbia porteriana var. scoparia,Porter's sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,CHPOS,USDA PLANTS (public domain)
Chamaesyce remyi,,Remy's sandmat,Euphorbiaceae,Chamaesyce,"Vine, Shrub",Perennial,HI(N),,,,,,,,CHRE3,USDA PLANTS (public domain)
Chamaesyce remyi var. hanaleiensis,Euphorbia remyi var. hanaleiensis,Remy's sandmat,Euphorbiaceae,Chamaesyce,"Vine, Shrub",Perennial,HI(N),,,,,,,,CHREH,USDA PLANTS (public domain)
Chamaesyce remyi var. kauaiensis,Euphorbia remyi var. kauaiensis,Remy's sandmat,Euphorbiaceae,Chamaesyce,"Shrub, Vine",Perennial,HI(N),,,,,,,,CHREK,USDA PLANTS (public domain)
Chamaesyce remyi var. remyi,Chamaesyce remyi var. lydgatei; Chamaesyce remyi var. waimeana; Chamaesyce remyi var. kahiliana; Chamaesyce remyi var. pteropoda; Chamaesyce remyi var. wahiawana; Chamaesyce remyi var. olokelensis; Euphorbia remyi; Euphorbia remyi var. lydgatei; Euphorbia remyi var. waimeana; Euphorbia remyi var. kahiliana; Euphorbia remyi var. pteropoda; Euphorbia remyi var. wahiawana; Euphorbia remyi var. olokelensis,Remy's sandmat,Euphorbiaceae,Chamaesyce,"Vine, Shrub",Perennial,HI(N),,,,,,,,CHRER,USDA PLANTS (public domain)
Chamaesyce rockii,Euphorbia rockii,Koolau Range sandmat,Euphorbiaceae,Chamaesyce,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHRO2,USDA PLANTS (public domain)
Chamaesyce skottsbergii,,coastal sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Shrub",Perennial,HI(N),,,,,,,,CHSK,USDA PLANTS (public domain)
Chamaesyce skottsbergii var. audens,Chamaesyce skottsbergii var. kalaeloana; Chamaesyce skottsbergii var. skottsbergii; Euphorbia skottsbergii; Euphorbia skottsbergii var. audens; Euphorbia skottsbergii var. typica; Euphorbia skottsbergii var. kalaeloana,coastal sandmat,Euphorbiaceae,Chamaesyce,"Shrub, Subshrub",Perennial,HI(N),,,,,,,,CHSKS,USDA PLANTS (public domain)
Chamaesyce multiformis var. haleakalana,Chamaesyce multiformis var. kapuleiensis; Chamaesyce skottsbergii var. vaccinioides; Euphorbia multiformis var. haleakalana; Euphorbia multiformis var. kapuleiensis,coastal sandmat,Euphorbiaceae,Chamaesyce,"Subshrub, Shrub",Perennial,HI(N),,,,,,,,CHSKV,USDA PLANTS (public domain)
Chamaesyce sparsiflora,Chamaesyce multiformis var. sparsiflora; Euphorbia sparsiflora; Euphorbia multiformis var. sparsiflora,wahiawa bog sandmat,Euphorbiaceae,Chamaesyce,"Shrub, Subshrub",Perennial,HI(N),,,,,,,,CHSP4,USDA PLANTS (public domain)
Chamerion latifolium,Chamerion subdentatum; Epilobium latifolium; Chamaenerion latifolium,dwarf fireweed,Onagraceae,Chamerion,"Forb/herb, Subshrub",Perennial,L48(N)AK(N)CAN(N)GL(N),,,,,,,,CHLA13,USDA PLANTS (public domain)
Charpentiera densiflora,,Napali coast papala,Amaranthaceae,Charpentiera,Tree,Perennial,HI(N),,,,,,,,CHDE3,USDA PLANTS (public domain)
Charpentiera elliptica,,ellipticleaf papala,Amaranthaceae,Charpentiera,Tree,Perennial,HI(N),,,,,,,,CHEL,USDA PLANTS (public domain)
Charpentiera obovata,,broadleaf papala,Amaranthaceae,Charpentiera,Tree,Perennial,HI(N),,,,,,,,CHOB2,USDA PLANTS (public domain)
Charpentiera ovata,,Koolau Range papala,Amaranthaceae,Charpentiera,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHOV2,USDA PLANTS (public domain)
Charpentiera ovata var. niuensis,,Koolau Range papala,Amaranthaceae,Charpentiera,"Shrub, Tree",Perennial,HI(N),,,,,,,,CHOVN,USDA PLANTS (public domain)
Charpentiera ovata var. ovata,,Koolau Range papala,Amaranthaceae,Charpentiera,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHOVO,USDA PLANTS (public domain)
Charpentiera tomentosa,,Waianae Range papala,Amaranthaceae,Charpentiera,Tree,Perennial,HI(N),,,,,,,,CHTO3,USDA PLANTS (public domain)
Charpentiera tomentosa var. maakuaensis,,Waianae Range papala,Amaranthaceae,Charpentiera,Tree,Perennial,HI(N),,,,,,,,CHTOM,USDA PLANTS (public domain)
Charpentiera tomentosa var. tomentosa,,Waianae Range papala,Amaranthaceae,Charpentiera,Tree,Perennial,HI(N),,,,,,,,CHTOT,USDA PLANTS (public domain)
Cheirodendron dominii,,Domin's club,Araliaceae,Cheirodendron,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHDO3,USDA PLANTS (public domain)
Cheirodendron fauriei,Cheirodendron fauriei var. macdanielsii,Faurie's club,Araliaceae,Cheirodendron,"Tree, Shrub",Perennial,HI(N),,,,,,,,CHFA,USDA PLANTS (public domain)
Cheirodendron forbesii,Cheirodendron kauaiense var. forbesii,olapa,Araliaceae,Cheirodendron,Tree,Perennial,HI(N),,,,,,,,CHFO4,USDA PLANTS (public domain)
Cheirodendron platyphyllum,,lapalapa,Araliaceae,Cheirodendron,Tree,Perennial,HI(N),,,,,,,,CHPL,USDA PLANTS (public domain)
Cheirodendron kauaiense,Cheirodendron kauaiense var. keakuense; Cheirodendron platyphyllum ssp. kauaiense,lapalapa,Araliaceae,Cheirodendron,Tree,Perennial,HI(N),,,,,,,,CHPLK,USDA PLANTS (public domain)
Cheirodendron platyphyllum ssp. platyphyllum,,lapalapa,Araliaceae,Cheirodendron,Tree,Perennial,HI(N),,,,,,,,CHPLP,USDA PLANTS (public domain)
Cheirodendron trigynum,,olapalapa,Araliaceae,Cheirodendron,Tree,Perennial,HI(N),,,,,,,,CHTR2,USDA PLANTS (public domain)
